"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\embto\Documents\GitHub\promotionperu\.eslintrc.json", "JSON with Comments", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\embto\Documents\GitHub\promotionperu\README.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 18, 45
"c:\Users\embto\Documents\GitHub\promotionperu\__tests__\Banner.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 8, 23
"c:\Users\embto\Documents\GitHub\promotionperu\jest.config.mjs", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\embto\Documents\GitHub\promotionperu\jest.setup.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\embto\Documents\GitHub\promotionperu\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\embto\Documents\GitHub\promotionperu\lib\sanity.api.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\embto\Documents\GitHub\promotionperu\lib\sanity.client.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 3, 7, 45
"c:\Users\embto\Documents\GitHub\promotionperu\lib\sanity.image.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\embto\Documents\GitHub\promotionperu\lib\sanity.queries.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\embto\Documents\GitHub\promotionperu\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\embto\Documents\GitHub\promotionperu\next.config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\embto\Documents\GitHub\promotionperu\package-lock.json", "JSON", 0, 0, 0, 0, 16319, 0, 0, 0, 1, 16320
"c:\Users\embto\Documents\GitHub\promotionperu\package.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\embto\Documents\GitHub\promotionperu\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\embto\Documents\GitHub\promotionperu\public\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\embto\Documents\GitHub\promotionperu\sanity.config.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\embto\Documents\GitHub\promotionperu\schemas\documents\city.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\embto\Documents\GitHub\promotionperu\schemas\documents\menu.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\embto\Documents\GitHub\promotionperu\schemas\documents\post.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\embto\Documents\GitHub\promotionperu\schemas\documents\recipes.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\embto\Documents\GitHub\promotionperu\schemas\documents\restaurant.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\embto\Documents\GitHub\promotionperu\schemas\schemaTypes.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\embto\Documents\GitHub\promotionperu\src\components\Arrow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\embto\Documents\GitHub\promotionperu\src\components\Banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"c:\Users\embto\Documents\GitHub\promotionperu\src\components\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\embto\Documents\GitHub\promotionperu\src\components\CardVideo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\embto\Documents\GitHub\promotionperu\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 4, 65
